name,title,image,link
Yiheng Xu,PhD student,/members/yiheng_xu.jpeg,https://yihengxu.com/
Hongjin Su,PhD student,/members/hongjin_su.jpeg,https://hongjin-su.github.io/
Tianbao Xie,PhD student,/members/tianbao_xie.jpeg,https://tianbaoxie.com/
Fan Zhou,Incoming PhD student,/members/fan_zhou.png,https://koalazf99.github.io/
Zhoujun Cheng,Research Assistant,/members/zhoujun_cheng.png,https://blankcheng.github.io/
Peng Shi,PhD Collaborator,/members/peng_shi.jpeg,https://scholar.google.com/citations?user=XTbDLrkAAAAJ
Luoxuan Weng,HCI/VIS,/members/luoxuan_weng.jpg,https://luoxuanweng.site/
Zeyu Liu,Research Assistant,/members/zeyu_liu.jpg,https://scholar.google.com/citations?user=P8YqPvQAAAAJ
Qian Liu,,/members/qian_liu.png,https://siviltaram.github.io/
Yitao Liu,Research Assistant,/members/yitao_liu.jpg,https://yitaoliu17.com/
Toh Jing Hua,Research Assistant,/members/jing_hua.jpg,https://github.com/ztjhz
Boyu Mi,Research Assistant,/members/boyu_mi.png,https://boyu-mi.github.io/
Che Liu,Research Assistant,/members/che_liu.png,https://github.com/che330
Dongchan Shin,Research Assistant,/members/dongchan_shin.png,https://github.com/thomasshin
Roxy Rong,Research Assistant,/members/roxy_rong.png,https://www.linkedin.com/in/roxyrong/
Jixuan Chen,Research Assistant,,https://github.com/chenjix
Siheng Zhao,Research Assistant,/members/siheng_zhao.png,https://hilbert-johnson.github.io/
Junning Bill Zhao,,,https://github.com/BillStark001
Ryan Yen,,,https://ryanyen2.github.io/
Jansen Wong,Research Assistant,/members/jansen_wong.png,https://www.linkedin.com/in/jansenwong/
Chen Wu,,/members/chen_wu.png,https://chenwu.io/
